word,pos,pos_2,concretenes,familiarity,imagery,aoa,log_freq,freq
abafado,a,a,3.46868523229,3.91700005389,3.95728135486,5.28200957405,7.10660613773,1220
abafador,a,a,5.72519499974,2.84368282263,5.10159245564,7.24767465659,4.40671924726,82
abalado,a,a,2.61283868451,4.11824597505,3.59191090374,7.62336591433,8.14612951003,3450
abalizado,a,a,3.8785806998,2.57879008645,3.55807082252,7.59405702904,4.35670882669,78
abandonado,a,a,3.67707388742,4.16286887441,3.97105510698,5.24195663229,9.75167580195,17183
abarrotado,a,a,4.13757063243,3.25920983439,4.00175419039,7.13037006916,5.17614973257,177
abastado,a,a,4.25577275201,2.77141883525,4.06612150983,6.60649885451,6.75460409949,858
abastardado,a,a,4.02353746014,2.71503068508,4.036276102,7.9180300376,2.94443897917,19
abatido,a,a,4.17261467821,4.04673178963,4.33151335964,5.38806007617,8.56560233062,5248
abaulado,a,a,4.68652942288,2.64679998592,4.40793709659,6.49511498116,4.04305126783,57
abençoado,a,a,3.34166301467,4.1202862477,4.06820283611,6.67317798197,7.4133673357,1658
aberto,a,a,4.21033114221,4.90010402311,4.16861891396,5.22634030093,11.3742953818,87055
abespinhado,a,a,4.07659100078,2.77678683778,4.06896402405,7.55546722026,2.99573227355,20
abestado,a,a,4.16200330814,2.86754814474,4.28394814432,7.41064030868,3.17805383035,24
abestalhado,a,a,4.12106945027,2.98745052718,4.19282006391,7.66165025931,3.13549421593,23
abilolado,a,a,4.3702824907,2.76169013633,4.41000989544,7.36167865635,2.3978952728,11
abismado,a,a,3.84238101123,3.64320264683,4.50655742207,7.62139558086,5.1532915945,173
abnegado,a,a,2.66525377485,2.89121946419,2.9645666399,8.99919246637,5.2626901889,193
abobado,a,a,4.24450594296,2.91678933769,4.38900052239,7.490003092,4.00733318523,55
abobalhado,a,a,3.5846565449,3.04835023399,3.85217434593,7.47708289491,3.63758615973,38
abocanhado,a,a,4.24750899963,2.54074731983,4.11009144885,7.7930280521,3.76120011569,43
abolido,a,a,3.55202751561,2.86882934676,3.31747664637,7.17021845053,7.58069975222,1960
abonado,a,a,3.8943085196,3.2114812618,3.98029468302,6.8263645004,4.3040650932,74
aborrecedor,a,a,4.14606989588,2.93484303394,4.22374325589,7.45481440383,2.56494935746,13
aborrecido,a,a,3.09921345692,4.87780481026,3.88295037546,5.20843782514,7.86978390253,2617
abortivo,a,a,4.17815498649,2.53146998531,4.03106751373,7.64894369371,4.77068462447,118
abraçado,a,a,4.17446612463,3.81115170171,4.53444770273,6.01044501412,7.13169851047,1251
abrasador,a,a,4.0359602405,2.91850123153,4.13010634166,6.46684598491,5.27811465923,196
abrasileirado,a,a,4.49668439832,2.74021640167,4.40579117422,7.44779204876,3.36729582999,29
abrasivo,a,a,4.07488662598,2.96487044901,4.01329333855,8.10805233675,5.8805329864,358
abreviado,a,a,4.18696052095,3.17956592893,3.63608995593,6.59777713208,8.03398273468,3084
abrigado,a,a,4.17184974637,2.96456527269,4.27284471294,6.83478016569,6.86693328446,960
abrutalhado,a,a,4.19653254159,2.8433880522,4.26944912729,7.39422402639,2.7080502011,15
absoluto,a,a,2.61711280529,4.3767894165,2.95641762322,6.64047376704,9.88195743399,19574
abstrato,a,a,3.1776420007,3.71935500569,3.54985641787,7.19081406428,7.67042852219,2144
absurdo,a,a,2.34332375493,4.87346697185,3.01845948799,6.41401321406,9.48334018564,13139
abusivo,a,a,2.71564078868,3.71116139397,3.082542235,7.69890847365,7.89618060862,2687
acabado,a,a,3.88696407735,5.12440095553,4.30702117362,4.62872670625,9.89065557372,19745
acabrunhado,a,a,3.14536806888,2.76919609463,3.51119354496,7.80979152231,5.25749537203,192
acadêmico,a,a,4.03569049972,4.11785875155,4.01606370073,7.09622180157,9.14034700016,9324
acalorado,a,a,3.24452864665,2.95967955241,3.1866720504,8.14570615392,5.87211778948,355
acamado,a,a,5.18359192281,3.21808319043,4.69476350305,7.74513643419,5.42495001748,227
acampado,a,a,4.84158131412,2.95529266133,4.69553990934,7.52054320655,6.24222326546,514
acanhado,a,a,3.49447501154,3.5217262636,3.72706315767,5.9816339817,6.43775164974,625
acastanhado,a,a,5.49367438453,3.09558107405,5.1947964739,6.41241397071,5.51342874616,248
acautelado,a,a,3.46911385628,3.09173590269,3.42571590259,8.72775497052,5.42934562895,228
acavalado,a,a,4.3361180298,2.72561521975,4.24831568989,7.51554314622,2.30258509299,10
acebolado,a,a,4.73653156088,2.81187671729,4.51878370133,6.75702175261,3.68887945411,40
acéfalo,a,a,4.03302935356,2.75681537592,4.02356695148,7.23223763434,4.82028156561,124
aceito,a,a,2.93362075479,4.74420782819,3.14777495857,6.1364240209,9.67287870511,15881
acelerado,a,a,3.02606125231,3.97777230604,3.4519631188,7.82005699281,8.89439598981,7291
acentuado,a,a,3.13324298349,3.79967662694,3.18758273789,6.78631416285,8.5863460501,5358
acerbo,a,a,3.43467863624,2.42561804141,3.58199428304,8.39721794576,4.80402104473,122
acertado,a,a,3.73874601897,4.27108992172,3.48159697074,6.00498138196,8.6816901633,5894
aceso,a,a,4.25222970215,4.21368349774,4.26661216925,6.01209460042,7.63530388626,2070
acessório,a,a,4.53402510499,4.21142317706,4.07040338203,7.03777746538,8.11402544236,3341
acético,a,a,4.26004380837,2.60545910657,3.70569114929,7.56349752752,7.00124562207,1098
acetinado,a,a,4.90553385704,2.83459235263,4.53010172209,8.01865579287,4.96284463026,143
achado,a,a,4.35655420618,4.42897777891,4.43121424484,5.33269705153,8.84217104861,6920
achatado,a,a,5.2865942443,3.62874359377,4.84211432462,6.20420171068,6.79570577517,894
achocolatado,a,a,5.77464728773,3.79607782777,5.38641956252,6.73597946468,5.84354441703,345
ácido,a,a,4.7380852603,4.52064475841,4.29296738585,6.11539975784,10.1412832352,25369
acintoso,a,a,3.05427440924,2.68523131187,3.23003167105,8.48087641523,4.1743872699,65
acinzentado,a,a,5.49315830164,3.15561471496,5.07212538649,7.41583804102,6.0063531596,406
acionário,a,a,4.21272384682,2.67337384259,3.67981809078,8.57983368498,7.43955930913,1702
acirrado,a,a,3.02414939936,2.89817964017,3.30088598697,8.04099164966,6.20253551719,494
aclarado,a,a,3.40768280582,2.51071970892,3.47333296239,8.1641903682,3.63758615973,38
acobreado,a,a,4.73029749144,2.47065140697,4.49616449892,6.61711915152,3.55534806149,35
açodado,a,a,3.6402265391,2.41265808489,3.59198730032,8.4165321061,4.06044301055,58
acolchoado,a,a,5.92661545431,3.1235327115,5.35855695564,5.8616291893,5.4161004022,225
acomodado,a,a,3.85783771518,3.62413637143,4.2255415032,6.34344548626,6.51619307604,676
acompanhado,a,a,4.67087814508,5.02368929929,4.36489158527,4.61122048977,10.5807847837,39371
aconchegado,a,a,4.37514268474,2.93358362705,4.519916633,6.89134886447,4.43081679884,84
acoplado,a,a,4.9696006014,3.06715517586,4.18108108738,6.54564041019,7.26682734752,1432
acordado,a,a,4.03479103611,4.80930423823,4.03858377239,5.6136010933,9.65451324119,15592
açoriano,a,a,4.77042659095,2.67932648853,4.43170337059,7.17242972546,7.94165125293,2812
acorrentado,a,a,5.37975500403,3.19120092367,5.07210201495,7.43617249101,6.55250788703,701
acostumado,a,a,3.51524477489,4.57199204546,4.05114721713,5.60960524263,8.64874763116,5703
acovardado,a,a,2.85265184623,2.57277851004,2.93909369955,7.66621337092,4.61512051684,101
acreditado,a,a,3.46739925793,3.68134893418,3.76572923817,7.52390173125,7.6619975589,2126
acriançado,a,a,4.30973710466,2.70874172162,4.32398562834,7.49506849943,2.07944154168,8
acriano,a,a,4.05414745752,2.04753085791,3.5386039475,9.17761380821,5.56452040732,261
acromático,a,a,4.45593645136,2.79836676374,4.12184365693,7.61541587477,4.00733318523,55
acuado,a,a,3.73322329387,2.98076214632,3.69665267845,7.05759140406,6.68461172767,800
açucarado,a,a,4.52398595677,2.90703463318,4.55866178824,6.57300819244,5.92958914339,376
acumulativo,a,a,3.56188234752,2.88590040101,3.54702180173,7.98555231035,3.98898404656,54
acurado,a,a,2.88635381598,2.99463357892,3.09179560901,8.62544529767,5.4161004022,225
acusado,a,a,4.06637771525,4.24976861088,4.0259593726,5.75854867156,10.642277091,41868
acusatório,a,a,3.99606331542,2.84639196638,3.9765971324,7.09352789613,5.92425579741,374
acústico,a,a,4.18387502121,3.53342799162,4.32641496372,7.52976047273,8.53365691745,5083
acutângulo,a,a,4.44780506009,2.50341501804,4.30204666461,7.53771521971,2.56494935746,13
adamascado,a,a,4.70444517817,2.35686387447,4.47068157876,7.46938141299,2.77258872224,16
adequado,a,a,3.06584916508,4.99258589264,2.76478873045,6.55528473736,10.6490136879,42151
adesivo,a,a,5.76678511662,3.96653318342,5.04139208197,5.60670782762,7.45240245122,1724
adiantado,a,a,4.203579597,4.30828480198,3.91062616294,6.07587438441,8.55410354544,5188
adiposo,a,a,5.5714133286,2.76635302966,4.8654792954,7.83625302881,6.55535689181,703
aditivado,a,a,4.54824340132,2.88181590663,4.52592696632,7.4208979951,3.40119738166,30
aditivo,a,a,4.736441924,3.37481641453,3.8111992592,7.06131934777,8.39253658682,4414
adjunto,a,a,4.90117576601,3.71827117302,4.05428601826,6.11987503424,9.50844296176,13473
administrativo,a,a,3.93653995119,3.91609262255,3.66841149052,6.63694731619,10.3628725026,31662
admirado,a,a,2.95601687075,4.2357802265,3.51360855201,5.73059142627,7.94555542825,2823
admirativo,a,a,4.35573496661,2.58984015268,4.15608868903,7.00692729766,3.21887582487,25
admitido,a,a,3.52695333853,3.71435101766,3.22736787414,7.5944725219,8.82291162635,6788
adocicado,a,a,4.19203813457,3.64404273631,4.26885853766,6.99845877445,6.16751649089,477
adoentado,a,a,4.23823080492,3.04145032192,4.26398974818,7.65088538775,5.27811465923,196
adoidado,a,a,4.18384027176,3.09295255818,4.83624177903,6.50699095694,5.1239639794,168
adotivo,a,a,4.44348668001,3.0110126117,4.2689821725,6.13934834335,7.66152708136,2125
adriático,a,a,5.12459304269,2.93909032837,4.90955756251,5.79039805041,7.85243908536,2572
aduaneiro,a,a,4.22643155256,3.03446266063,3.80101954923,7.52895717661,9.33229248273,11297
adulterado,a,a,4.52143600288,3.71292110221,4.33562674825,7.15654340455,6.48310735146,654
adverso,a,a,2.63538154742,3.47815084664,3.1122491969,7.83935649122,7.5358304628,1874
advocatício,a,a,4.60362213424,2.746021467,4.50003301933,7.2397662197,2.8903717579,18
aéreo,a,a,4.45690385845,3.91805435028,4.508118884,6.26942520182,10.3310728617,30671
aeróbico,a,a,3.62562389345,2.9565055225,3.67246725883,7.98684451268,5.37063802813,215
aeróbio,a,a,3.64135083736,2.47066944941,3.54157000773,7.76629576061,4.33073334029,76
aerodinâmico,a,a,3.86696786429,3.30034261326,3.75610719753,6.71702738004,6.82437367004,920
aeroviário,a,a,3.77305639229,2.27161633637,3.47251032976,10.310870591,5.20400668708,182
aético,a,a,4.26935985759,2.75373378869,4.14081718217,7.68723568802,2.94443897917,19
afamado,a,a,4.00406374292,2.82501032768,3.94784538562,8.24711381504,6.45362499889,635
afásico,a,a,4.40836601049,2.52983648573,4.30833525626,7.72676299725,2.63905732962,14
afastado,a,a,2.98223845379,4.39836248858,3.26098339509,6.14149440889,10.0653087387,23513
afeiçoado,a,a,3.1868809794,3.36186884901,3.58387550077,7.90712872502,5.28320372874,197
afeito,a,a,3.00313507912,3.31730941922,3.49406746465,6.36889066943,5.91079664404,369
afeminado,asm,a,4.17813861072,3.33493415988,4.39434503918,6.55286803106,5.44673737167,232
aferrado,a,a,3.43377038141,2.55950492243,3.51550799514,8.92400223177,3.80666248977,45
aferrolhado,a,a,4.33067464639,2.73620676363,4.28447325951,7.21386240992,3.40119738166,30
afetado,a,a,2.83318789544,4.36474116572,3.4069278677,7.18351736596,8.73391617493,6210
afetivo,a,a,2.57401983139,3.64185737799,3.24019071703,7.34280143906,6.74993119379,854
afetuoso,a,a,3.2315915713,3.74283450401,3.68535847667,6.5270630746,5.99146454711,400
afiado,a,a,4.3864885386,3.84605587192,4.43928511487,5.83671139185,6.96413561242,1058
afinado,a,a,3.95711497131,3.63082685614,3.89306103134,6.6146804953,6.78445706264,884
afinar,a,a,4.196874474,3.37048002269,3.97000184628,6.22582761114,6.96602418711,1060
afirmativo,a,a,3.76196318378,3.52496358407,3.60629579969,7.9032030145,7.99226864327,2958
afixo,a,a,4.17983561251,2.39342756976,3.91337010168,7.75695110052,3.93182563272,51
aflitivo,a,a,2.8427380678,3.16878801454,3.15586527884,7.68264118816,5.22035582508,185
afobado,a,a,4.03025507251,2.9257487052,4.05777077063,6.91454092439,5.16478597392,175
afogador,a,a,4.99215525732,2.83318115084,4.61461357142,7.34720261514,4.09434456222,60
afogueado,a,a,4.76445945647,2.79528463676,4.69039733735,6.76777931936,4.69134788223,109
afoito,a,a,3.48224816347,3.28626056906,3.49402787077,7.1348975008,5.62401750619,277
afônico,a,a,4.87310650139,2.67257727952,4.68249933706,7.51789015633,3.36729582999,29
afro-americano,a,a,4.72517902774,2.77350167418,4.60564467624,7.68713283619,7.145196135,1268
afro-brasileiro,a,a,3.46207305417,2.42015139929,3.69172779222,7.73577028622,5.65948221576,287
afrodescendente,a,a,4.12530038664,2.45882395073,4.0240305665,7.8524593279,5.30330490806,201
afrontado,a,a,3.6995125802,2.50935651849,3.86331962378,6.91364954972,4.84418708646,127
afrontoso,a,a,3.53646271273,2.87274378421,3.70255131025,6.79077344664,4.29045944115,73
afundado,a,a,4.75429632805,3.04895682705,4.67344255405,6.40889380637,7.8481530862,2561
afunilado,a,a,4.42846806038,2.61737517813,4.34159055062,6.9206419821,4.65396035016,105
agarrado,a,a,4.66776103485,4.17395754828,4.8254141621,5.04652840057,7.60339933974,2005
agasalhado,a,a,4.19104744173,3.01789643535,4.36119806197,7.07957935266,4.60517018599,100
agigantado,a,a,4.4020087932,2.61685327389,4.08505453256,7.917537677,3.68887945411,40
